gene_id	plot_id	seq_unit	Alevin-fry	Cell Ranger
ENSG00000143198	SCPCL000003 (Single-cell)	Single-cell	0.3101214574898785	0.2819672131147541
ENSG00000117523	SCPCL000003 (Single-cell)	Single-cell	0.10364372469635627	0.09344262295081968
ENSG00000117592	SCPCL000003 (Single-cell)	Single-cell	0.145748987854251	0.13688524590163934
ENSG00000116161	SCPCL000003 (Single-cell)	Single-cell	0.08987854251012145	0.07704918032786885
ENSG00000116667	SCPCL000003 (Single-cell)	Single-cell	0.07530364372469636	0.08196721311475409
ENSG00000116747	SCPCL000003 (Single-cell)	Single-cell	0.10121457489878542	0.08852459016393442
ENSG00000182004	SCPCL000003 (Single-cell)	Single-cell	0.11174089068825911	0.09836065573770492
ENSG00000066027	SCPCL000003 (Single-cell)	Single-cell	0.062348178137651825	0.05983606557377049
ENSG00000117691	SCPCL000003 (Single-cell)	Single-cell	0.13036437246963561	0.13524590163934427
ENSG00000136636	SCPCL000003 (Single-cell)	Single-cell	0.062348178137651825	0.05901639344262295
ENSG00000143742	SCPCL000003 (Single-cell)	Single-cell	0.40728744939271255	0.3819672131147541
ENSG00000163041	SCPCL000003 (Single-cell)	Single-cell	0.23724696356275304	0.6524590163934426
ENSG00000143761	SCPCL000003 (Single-cell)	Single-cell	0.08097165991902834	0.08278688524590164
ENSG00000143774	SCPCL000003 (Single-cell)	Single-cell	1.2161943319838058	1.0524590163934426
ENSG00000168118	SCPCL000003 (Single-cell)	Single-cell	0.1368421052631579	0.12786885245901639
ENSG00000203667	SCPCL000003 (Single-cell)	Single-cell	0.17408906882591094	0.16311475409836065
ENSG00000175756	SCPCL000003 (Single-cell)	Single-cell	0.18218623481781376	0.14918032786885246
ENSG00000242485	SCPCL000003 (Single-cell)	Single-cell	0.12631578947368421	0.11065573770491803
ENSG00000078369	SCPCL000003 (Single-cell)	Single-cell	0.29392712550607286	0.2975409836065574
ENSG00000116251	SCPCL000003 (Single-cell)	Single-cell	0.9781376518218623	1.1245901639344262
ENSG00000074800	SCPCL000003 (Single-cell)	Single-cell	0.3287449392712551	0.32868852459016396
ENSG00000116661	SCPCL000003 (Single-cell)	Single-cell	0.25263157894736843	0.20737704918032787
ENSG00000077549	SCPCL000003 (Single-cell)	Single-cell	0.10607287449392712	0.08114754098360656
ENSG00000162545	SCPCL000003 (Single-cell)	Single-cell	0.6267206477732794	0.9057377049180327
ENSG00000127483	SCPCL000003 (Single-cell)	Single-cell	0.08097165991902834	0.08114754098360656
ENSG00000125944	SCPCL000003 (Single-cell)	Single-cell	0.10121457489878542	0.08852459016393442
ENSG00000117318	SCPCL000003 (Single-cell)	Single-cell	0.14817813765182186	0.13934426229508196
ENSG00000117614	SCPCL000003 (Single-cell)	Single-cell	0.09716599190283401	0.08934426229508197
ENSG00000117632	SCPCL000003 (Single-cell)	Single-cell	0.35060728744939273	0.34508196721311474
ENSG00000126709	SCPCL000003 (Single-cell)	Single-cell	0.10121457489878542	0.08114754098360656
ENSG00000126698	SCPCL000003 (Single-cell)	Single-cell	0.12469635627530365	0.1040983606557377
ENSG00000175130	SCPCL000003 (Single-cell)	Single-cell	0.61457489878542515	0.6385245901639345
ENSG00000116560	SCPCL000003 (Single-cell)	Single-cell	0.07935222672064778	0.0778688524590164
ENSG00000116983	SCPCL000003 (Single-cell)	Single-cell	0.06396761133603239	0.0942622950819672
ENSG00000117450	SCPCL000003 (Single-cell)	Single-cell	0.6534412955465587	0.5680327868852459
ENSG00000123472	SCPCL000003 (Single-cell)	Single-cell	0.07206477732793522	0.06885245901639345
