sample_id	quantiseq_celltype	proportion
SCPCS000246	B.cells	0.0028001472052400786
SCPCS000246	Macrophages.M1	7.308133088267642e-4
SCPCS000246	Macrophages.M2	0.011267581258774759
SCPCS000246	Monocytes	0.006259871643288771
SCPCS000246	Neutrophils	0
SCPCS000246	NK.cells	0.003254337618197533
SCPCS000246	T.cells.CD4	0
SCPCS000246	T.cells.CD8	0
SCPCS000246	Tregs	0
SCPCS000246	Dendritic.cells	5.377576347660529e-4
SCPCS000246	Other	0.975149491330906
SCPCS000247	B.cells	0.003171528741566171
SCPCS000247	Macrophages.M1	4.8114571000726803e-4
SCPCS000247	Macrophages.M2	0.004696351349377958
SCPCS000247	Monocytes	0
SCPCS000247	Neutrophils	0.009350005803722148
SCPCS000247	NK.cells	0.0031549335780251702
SCPCS000247	T.cells.CD4	0.003914421432233878
SCPCS000247	T.cells.CD8	0
SCPCS000247	Tregs	8.27254362708483e-4
SCPCS000247	Dendritic.cells	0.00732150286612957
SCPCS000247	Other	0.9670828561562295
SCPCS000409	B.cells	0.0031720465369479683
SCPCS000409	Macrophages.M1	0.0034232903175824216
SCPCS000409	Macrophages.M2	0.010728458568909416
SCPCS000409	Monocytes	0
SCPCS000409	Neutrophils	0.0052451147526442
SCPCS000409	NK.cells	0.0017027044658711604
SCPCS000409	T.cells.CD4	0.005694087204210826
SCPCS000409	T.cells.CD8	0
SCPCS000409	Tregs	0.0010068243234122632
SCPCS000409	Dendritic.cells	0.007207513975231383
SCPCS000409	Other	0.9618199598551903
SCPCS000410	B.cells	0.0017589331798537394
SCPCS000410	Macrophages.M1	0.005387065395589136
SCPCS000410	Macrophages.M2	0.0041477959730307585
SCPCS000410	Monocytes	0
SCPCS000410	Neutrophils	0.004230285548036291
SCPCS000410	NK.cells	6.75240799388297e-4
SCPCS000410	T.cells.CD4	0
SCPCS000410	T.cells.CD8	0
SCPCS000410	Tregs	0.002229677353441431
SCPCS000410	Dendritic.cells	0
SCPCS000410	Other	0.9815710017506604
SCPCS000411	B.cells	0.0018067963655273415
SCPCS000411	Macrophages.M1	0.0035933961120347144
SCPCS000411	Macrophages.M2	0.02499465683488207
SCPCS000411	Monocytes	0
SCPCS000411	Neutrophils	0.03913705398820326
SCPCS000411	NK.cells	0.0022071463408365093
SCPCS000411	T.cells.CD4	0
SCPCS000411	T.cells.CD8	0
SCPCS000411	Tregs	9.192367888988239e-4
SCPCS000411	Dendritic.cells	0
SCPCS000411	Other	0.9273417135696173
SCPCS000412	B.cells	0.0052033937632187865
SCPCS000412	Macrophages.M1	0.010952468132437096
