sample_id	quantiseq_celltype	proportion
SCPCS000024	B.cells	0.02247366012214732
SCPCS000024	Macrophages.M1	0.15756341114455372
SCPCS000024	Macrophages.M2	0.025311798467878507
SCPCS000024	Monocytes	0.06615345488768892
SCPCS000024	Neutrophils	0
SCPCS000024	NK.cells	0.08755203228609679
SCPCS000024	T.cells.CD4	0
SCPCS000024	T.cells.CD8	0
SCPCS000024	Tregs	0
SCPCS000024	Dendritic.cells	0
SCPCS000024	Other	0.6409456430916347
SCPCS000025	B.cells	0.010575480485349408
SCPCS000025	Macrophages.M1	0.22676316558178256
SCPCS000025	Macrophages.M2	0
SCPCS000025	Monocytes	0
SCPCS000025	Neutrophils	0.007997154643745369
SCPCS000025	NK.cells	0.09496372131662992
SCPCS000025	T.cells.CD4	0
SCPCS000025	T.cells.CD8	0
SCPCS000025	Tregs	0
SCPCS000025	Dendritic.cells	0.018221349532349582
SCPCS000025	Other	0.6414791284401431
SCPCS000026	B.cells	0
SCPCS000026	Macrophages.M1	0.056388635270958665
SCPCS000026	Macrophages.M2	0
SCPCS000026	Monocytes	0.3738135316823523
SCPCS000026	Neutrophils	0
SCPCS000026	NK.cells	0.3150217021275236
SCPCS000026	T.cells.CD4	0
SCPCS000026	T.cells.CD8	0
SCPCS000026	Tregs	0
SCPCS000026	Dendritic.cells	0
SCPCS000026	Other	0.2547761309191654
SCPCS000028	B.cells	7.014483189193472e-4
SCPCS000028	Macrophages.M1	0.4407405542031082
SCPCS000028	Macrophages.M2	0
SCPCS000028	Monocytes	0
SCPCS000028	Neutrophils	0
SCPCS000028	NK.cells	0.049980467746006126
SCPCS000028	T.cells.CD4	0
SCPCS000028	T.cells.CD8	0
SCPCS000028	Tregs	0
SCPCS000028	Dendritic.cells	0
SCPCS000028	Other	0.5085775297319663
SCPCS000029	B.cells	0.0080378434137494
SCPCS000029	Macrophages.M1	0.11245739062320072
SCPCS000029	Macrophages.M2	0
SCPCS000029	Monocytes	0.2346074116631882
SCPCS000029	Neutrophils	0
SCPCS000029	NK.cells	0.18055439925384079
SCPCS000029	T.cells.CD4	0
SCPCS000029	T.cells.CD8	0
SCPCS000029	Tregs	0
SCPCS000029	Dendritic.cells	0
SCPCS000029	Other	0.46434295504602097
SCPCS000030	B.cells	0.016647024293275824
SCPCS000030	Macrophages.M1	0.12248057011789357
SCPCS000030	Macrophages.M2	0.05619827035193672
SCPCS000030	Monocytes	0
SCPCS000030	Neutrophils	0
SCPCS000030	NK.cells	0.09293171734981882
SCPCS000030	T.cells.CD4	0
SCPCS000030	T.cells.CD8	0
SCPCS000030	Tregs	0
SCPCS000030	Dendritic.cells	0.07382394749874824
SCPCS000030	Other	0.6379184703883268
SCPCS000032	B.cells	0.015219912184416153
SCPCS000032	Macrophages.M1	0.15008793302454504
SCPCS000032	Macrophages.M2	0
SCPCS000032	Monocytes	0.1037393460939776
SCPCS000032	Neutrophils	0
SCPCS000032	NK.cells	0.09892954993991593
SCPCS000032	T.cells.CD4	0
SCPCS000032	T.cells.CD8	0
SCPCS000032	Tregs	0
SCPCS000032	Dendritic.cells	0
SCPCS000032	Other	0.6320232587571453
SCPCS000033	B.cells	0.009642925766890931
SCPCS000033	Macrophages.M1	0.10651305450208678
SCPCS000033	Macrophages.M2	0
SCPCS000033	Monocytes	0.3001528310540569
SCPCS000033	Neutrophils	0
SCPCS000033	NK.cells	0.14580452200646196
SCPCS000033	T.cells.CD4	0
SCPCS000033	T.cells.CD8	0
SCPCS000033	Tregs	0
SCPCS000033	Dendritic.cells	0
SCPCS000033	Other	0.43788666667050347
SCPCS000036	B.cells	0.003637955707542072
SCPCS000036	Macrophages.M1	0.026210058609397898
SCPCS000036	Macrophages.M2	0
SCPCS000036	Monocytes	0.37047153427152685
SCPCS000036	Neutrophils	0
SCPCS000036	NK.cells	0.13921138147311563
SCPCS000036	T.cells.CD4	0
SCPCS000036	T.cells.CD8	0
SCPCS000036	Tregs	0
SCPCS000036	Dendritic.cells	0
SCPCS000036	Other	0.4604690699384175
SCPCS000037	B.cells	0.018619423420122495
SCPCS000037	Macrophages.M1	0.05828378382825015
