sample_id	cell_type	fraction	reference	converged
SCPCS000014	Endothelial	0.08710674683794213	Tref	TRUE
SCPCS000014	Macrophages	0.17499145982978973	Tref	TRUE
SCPCS000014	NKcells	0.0012336685136787528	Tref	TRUE
SCPCS000014	otherCells	0.6698127387574461	Tref	TRUE
SCPCS000015	Bcells	1.4646235249112178e-4	Tref	TRUE
SCPCS000015	CAFs	0.005506973301025826	Tref	TRUE
SCPCS000015	CD4_Tcells	0.03424545710844183	Tref	TRUE
SCPCS000015	CD8_Tcells	0.007984177678751592	Tref	TRUE
SCPCS000015	Endothelial	0.08337810490343683	Tref	TRUE
SCPCS000015	Macrophages	0.016814084868580118	Tref	TRUE
SCPCS000015	NKcells	8.944194312386918e-9	Tref	TRUE
SCPCS000015	otherCells	0.8519247308430783	Tref	TRUE
SCPCS000016	Bcells	0.0010019773631492852	Tref	TRUE
SCPCS000016	CAFs	0.001831925034393025	Tref	TRUE
SCPCS000016	CD4_Tcells	0.032135691538615535	Tref	TRUE
SCPCS000016	CD8_Tcells	0.011973019556646751	Tref	TRUE
SCPCS000016	Endothelial	0.06806273533679483	Tref	TRUE
SCPCS000016	Macrophages	0.019063220033490893	Tref	TRUE
SCPCS000016	NKcells	1.5265866499355345e-9	Tref	TRUE
SCPCS000016	otherCells	0.8659314296103231	Tref	TRUE
SCPCS000017	Bcells	8.748630034272092e-4	Tref	TRUE
SCPCS000017	CAFs	0.0064572262559342555	Tref	TRUE
SCPCS000017	CD4_Tcells	0.02733029318791476	Tref	TRUE
SCPCS000017	CD8_Tcells	0.01600645149875619	Tref	TRUE
SCPCS000017	Endothelial	0.11220118873358674	Tref	TRUE
SCPCS000017	Macrophages	0.02088064046374442	Tref	TRUE
SCPCS000017	NKcells	3.536275311940003e-9	Tref	TRUE
SCPCS000017	otherCells	0.8162493333203611	Tref	TRUE
SCPCS000019	Bcells	3.0744271666539087e-5	Tref	TRUE
SCPCS000019	CAFs	0.03911110678368125	Tref	TRUE
SCPCS000019	CD4_Tcells	0.01749583267442886	Tref	TRUE
SCPCS000019	CD8_Tcells	0.03737206947194729	Tref	TRUE
SCPCS000019	Endothelial	0.07444506814919849	Tref	TRUE
SCPCS000019	Macrophages	0.039542712354575724	Tref	TRUE
SCPCS000019	NKcells	1.0937791132004701e-8	Tref	TRUE
SCPCS000019	otherCells	0.7920024553567109	Tref	TRUE
