sample_id	quantiseq_celltype	proportion
SCPCS000168	B.cells	0.014490441886510727
SCPCS000168	Macrophages.M1	0.010264175155506743
SCPCS000168	Macrophages.M2	0
SCPCS000168	Monocytes	0.05132306576217978
SCPCS000168	Neutrophils	0
SCPCS000168	NK.cells	0.04072578825372618
SCPCS000168	T.cells.CD4	0.0012151120526158205
SCPCS000168	T.cells.CD8	0.018505236795190505
SCPCS000168	Tregs	0.016150642147330536
SCPCS000168	Dendritic.cells	0
SCPCS000168	Other	0.8473255379469397
SCPCS000169	B.cells	0.012379306047761022
SCPCS000169	Macrophages.M1	0.012307194724671278
SCPCS000169	Macrophages.M2	0.004001836644480973
SCPCS000169	Monocytes	0.02641714561567817
SCPCS000169	Neutrophils	0.038406536790063846
SCPCS000169	NK.cells	0.0288330758223879
SCPCS000169	T.cells.CD4	0.0016440635564696732
SCPCS000169	T.cells.CD8	8.550664812554614e-4
SCPCS000169	Tregs	0.027243063873150782
SCPCS000169	Dendritic.cells	0.006278052907402812
SCPCS000169	Other	0.8416346575366781
SCPCS000170	B.cells	0.01838992655120911
SCPCS000170	Macrophages.M1	0.015147791622284221
SCPCS000170	Macrophages.M2	0
SCPCS000170	Monocytes	0.03944984279902185
SCPCS000170	Neutrophils	0
SCPCS000170	NK.cells	0.03495348508779935
SCPCS000170	T.cells.CD4	0.010090438790803043
SCPCS000170	T.cells.CD8	0.0035507338688358075
SCPCS000170	Tregs	0.009094464968303266
SCPCS000170	Dendritic.cells	0
SCPCS000170	Other	0.8693233163117434
SCPCS000171	B.cells	0.014263389454004669
SCPCS000171	Macrophages.M1	0.00853561737556842
SCPCS000171	Macrophages.M2	0.00496610509421312
SCPCS000171	Monocytes	0.04022369227156054
SCPCS000171	Neutrophils	0.04623694578781159
SCPCS000171	NK.cells	0.025436159537771605
SCPCS000171	T.cells.CD4	0
SCPCS000171	T.cells.CD8	0
SCPCS000171	Tregs	0.028535909280050637
SCPCS000171	Dendritic.cells	0
SCPCS000171	Other	0.8318021811990194
SCPCS000172	B.cells	0.010690546825346028
SCPCS000172	Macrophages.M1	0.003970139424721587
SCPCS000172	Macrophages.M2	0.004773357472360786
SCPCS000172	Monocytes	0.08866251490749821
SCPCS000172	Neutrophils	0
SCPCS000172	NK.cells	0.10160233628914411
SCPCS000172	T.cells.CD4	0
SCPCS000172	T.cells.CD8	0
SCPCS000172	Tregs	0
SCPCS000172	Dendritic.cells	0
SCPCS000172	Other	0.7903011050809292
SCPCS000173	B.cells	0.017003900566169166
SCPCS000173	Macrophages.M1	0.018061692270101504
SCPCS000173	Macrophages.M2	0
SCPCS000173	Monocytes	0.06357780874490779
SCPCS000173	Neutrophils	0
SCPCS000173	NK.cells	0.029428892235483655
SCPCS000173	T.cells.CD4	0
SCPCS000173	T.cells.CD8	0.009286204003622848
SCPCS000173	Tregs	0.016870218290387852
SCPCS000173	Dendritic.cells	0
SCPCS000173	Other	0.8457712838893272
SCPCS000174	B.cells	0.022826003716556235
SCPCS000174	Macrophages.M1	0.03451467449197846
SCPCS000174	Macrophages.M2	0.013745440973217476
SCPCS000174	Monocytes	0.049306029779810266
SCPCS000174	Neutrophils	0
SCPCS000174	NK.cells	0.04649583808809453
SCPCS000174	T.cells.CD4	0.02104474051161219
SCPCS000174	T.cells.CD8	0.00310900628179898
SCPCS000174	Tregs	0.025308991717966915
SCPCS000174	Dendritic.cells	0.03286046272700994
SCPCS000174	Other	0.750788811711955
SCPCS000175	B.cells	0.009814365772092147
SCPCS000175	Macrophages.M1	0.03159505837407361
SCPCS000175	Macrophages.M2	0
SCPCS000175	Monocytes	0.09146191700318651
SCPCS000175	Neutrophils	0
SCPCS000175	NK.cells	0.023145143917763608
SCPCS000175	T.cells.CD4	0
SCPCS000175	T.cells.CD8	0
SCPCS000175	Tregs	0
SCPCS000175	Dendritic.cells	0
SCPCS000175	Other	0.8439835149328841
SCPCS000176	B.cells	0.018495222756626233
SCPCS000176	Macrophages.M1	0.019302718651276394
SCPCS000176	Macrophages.M2	3.0431879963149094e-4
SCPCS000176	Monocytes	0.07507312921189398
SCPCS000176	Neutrophils	0
SCPCS000176	NK.cells	0.055683747162376784
SCPCS000176	T.cells.CD4	0
SCPCS000176	T.cells.CD8	0
SCPCS000176	Tregs	3.7324832285897015e-4
SCPCS000176	Dendritic.cells	0.0026751212922963203
SCPCS000176	Other	0.8280924938030397
SCPCS000177	B.cells	0.003023480416322775
SCPCS000177	Macrophages.M1	0.0013342685752890605
SCPCS000177	Macrophages.M2	2.2373137627587823e-4
SCPCS000177	Monocytes	0.06613112503751449
SCPCS000177	Neutrophils	0
SCPCS000177	NK.cells	0.01799126533453529
SCPCS000177	T.cells.CD4	0
SCPCS000177	T.cells.CD8	0.00684088574959052
SCPCS000177	Tregs	0.006444831847490147
