sample_id	quantiseq_celltype	proportion
SCPCS000140	Monocytes	0
SCPCS000140	Neutrophils	0.008194659779031508
SCPCS000140	NK.cells	0.003556322896268602
SCPCS000140	T.cells.CD4	0
SCPCS000140	T.cells.CD8	0
SCPCS000140	Tregs	0.0022653911698894357
SCPCS000140	Dendritic.cells	0.0019537777750825796
SCPCS000140	Other	0.9758682593366157
SCPCS000141	B.cells	0.030387683612595213
SCPCS000141	Macrophages.M1	0
SCPCS000141	Macrophages.M2	0
SCPCS000141	Monocytes	0.03111922826108662
SCPCS000141	Neutrophils	0
SCPCS000141	NK.cells	0.012254056717642663
SCPCS000141	T.cells.CD4	0
SCPCS000141	T.cells.CD8	0
SCPCS000141	Tregs	0
SCPCS000141	Dendritic.cells	0.0013121780899868736
SCPCS000141	Other	0.9249268533186886
SCPCS000142	B.cells	0.017203043808066084
SCPCS000142	Macrophages.M1	0.001321551768905035
SCPCS000142	Macrophages.M2	0.010778714356424747
SCPCS000142	Monocytes	0
SCPCS000142	Neutrophils	0
SCPCS000142	NK.cells	0.013293626464138546
SCPCS000142	T.cells.CD4	0
SCPCS000142	T.cells.CD8	0
SCPCS000142	Tregs	0
SCPCS000142	Dendritic.cells	0.04709622507558753
SCPCS000142	Other	0.9103068385268781
SCPCS000143	B.cells	0.008881502613570506
SCPCS000143	Macrophages.M1	0
SCPCS000143	Macrophages.M2	0.003753939802436403
SCPCS000143	Monocytes	0.013832832304479379
SCPCS000143	Neutrophils	0
SCPCS000143	NK.cells	0.014375746700737033
SCPCS000143	T.cells.CD4	0.010936710815341817
SCPCS000143	T.cells.CD8	0
SCPCS000143	Tregs	0
SCPCS000143	Dendritic.cells	0.002449969567917208
SCPCS000143	Other	0.9457692981955177
SCPCS000144	B.cells	0.008680941336924715
SCPCS000144	Macrophages.M1	0
SCPCS000144	Macrophages.M2	0
SCPCS000144	Monocytes	0.01088493672416953
SCPCS000144	Neutrophils	0
SCPCS000144	NK.cells	0.01212656615201457
SCPCS000144	T.cells.CD4	0
SCPCS000144	T.cells.CD8	0
SCPCS000144	Tregs	4.3711440339633376e-4
SCPCS000144	Dendritic.cells	0.0104741652809209
SCPCS000144	Other	0.957396276102574
SCPCS000145	B.cells	0.005681587259558034
SCPCS000145	Macrophages.M1	0
SCPCS000145	Macrophages.M2	8.106313178669618e-4
SCPCS000145	Monocytes	0.005208223313952413
SCPCS000145	Neutrophils	0
SCPCS000145	NK.cells	0.0031437902248555335
SCPCS000145	T.cells.CD4	0
SCPCS000145	T.cells.CD8	0
SCPCS000145	Tregs	0
SCPCS000145	Dendritic.cells	3.869560164642505e-4
SCPCS000145	Other	0.9847688118673028
SCPCS000146	B.cells	0.008777713321193254
SCPCS000146	Macrophages.M1	0
SCPCS000146	Macrophages.M2	0.001762534022826488
SCPCS000146	Monocytes	0.01632351187118737
SCPCS000146	Neutrophils	0
SCPCS000146	NK.cells	0.006557256604685665
SCPCS000146	T.cells.CD4	0
SCPCS000146	T.cells.CD8	0
SCPCS000146	Tregs	0
SCPCS000146	Dendritic.cells	0.001976918994277015
SCPCS000146	Other	0.9646020651858302
SCPCS000147	B.cells	0.01802202298832898
SCPCS000147	Macrophages.M1	0.005781848824601608
SCPCS000147	Macrophages.M2	0.004425152038797431
SCPCS000147	Monocytes	0
SCPCS000147	Neutrophils	0
SCPCS000147	NK.cells	0.013413711163556004
SCPCS000147	T.cells.CD4	0
SCPCS000147	T.cells.CD8	0
SCPCS000147	Tregs	0.002354042358047447
SCPCS000147	Dendritic.cells	0.028207079906636488
SCPCS000147	Other	0.927796142720032
SCPCS000148	B.cells	0.012724317889114633
SCPCS000148	Macrophages.M1	6.493860000490715e-4
SCPCS000148	Macrophages.M2	0.004435112217337378
SCPCS000148	Monocytes	0.02093933868431031
SCPCS000148	Neutrophils	0
SCPCS000148	NK.cells	0.011249713159406661
SCPCS000148	T.cells.CD4	0
SCPCS000148	T.cells.CD8	0
SCPCS000148	Tregs	0.0021344603375117355
SCPCS000148	Dendritic.cells	0.013291587945480592
SCPCS000148	Other	0.9345760837667896
SCPCS000149	B.cells	0.013921917622217518
SCPCS000149	Macrophages.M1	0
SCPCS000149	Macrophages.M2	7.709635795828038e-4
SCPCS000149	Monocytes	0.025193300357282226
SCPCS000149	Neutrophils	0
SCPCS000149	NK.cells	0.027973684515326277
SCPCS000149	T.cells.CD4	0
SCPCS000149	T.cells.CD8	0
SCPCS000149	Tregs	0
SCPCS000149	Dendritic.cells	0
SCPCS000149	Other	0.9321401339255911
SCPCS000150	B.cells	0.011554505770920537
SCPCS000150	Macrophages.M1	0
SCPCS000150	Macrophages.M2	0.001437728901067985
SCPCS000150	Monocytes	0
SCPCS000150	Neutrophils	0
SCPCS000150	NK.cells	0.018631177898216843
SCPCS000150	T.cells.CD4	0
SCPCS000150	T.cells.CD8	0
SCPCS000150	Tregs	0
SCPCS000150	Dendritic.cells	0.008714862166408105
SCPCS000150	Other	0.9596617252633866
SCPCS000151	B.cells	0.011183882480941836
SCPCS000151	Macrophages.M1	0
SCPCS000151	Macrophages.M2	0.006033859011247186
SCPCS000151	Monocytes	0
SCPCS000151	Neutrophils	0
SCPCS000151	NK.cells	0.009940036027835749
SCPCS000151	T.cells.CD4	0
SCPCS000151	T.cells.CD8	0
SCPCS000151	Tregs	0
SCPCS000151	Dendritic.cells	0.013245115775339475
SCPCS000151	Other	0.9595971067046357
SCPCS000152	B.cells	0.002598927759167686
SCPCS000152	Macrophages.M1	0
SCPCS000152	Macrophages.M2	0
