sample_id	quantiseq_celltype	proportion
SCPCS000001	B.cells	0.01818072422503261
SCPCS000001	Macrophages.M1	0
SCPCS000001	Macrophages.M2	9.684928658390053e-4
SCPCS000001	Monocytes	0.2292753166746546
SCPCS000001	Neutrophils	0
SCPCS000001	NK.cells	0.04902353605720266
SCPCS000001	T.cells.CD4	0
SCPCS000001	T.cells.CD8	0
SCPCS000001	Tregs	0
SCPCS000001	Dendritic.cells	0
SCPCS000001	Other	0.7025519301772711
SCPCS000002	B.cells	0.007309896868005882
SCPCS000002	Macrophages.M1	0.09339385206695909
SCPCS000002	Macrophages.M2	0.05737386909947582
SCPCS000002	Monocytes	0.03360913660262764
SCPCS000002	Neutrophils	0
SCPCS000002	NK.cells	0.18295704119965783
SCPCS000002	T.cells.CD4	0
SCPCS000002	T.cells.CD8	0
SCPCS000002	Tregs	0
SCPCS000002	Dendritic.cells	0.00986426648889929
SCPCS000002	Other	0.6154919376743745
SCPCS000003	B.cells	0
SCPCS000003	Macrophages.M1	0
SCPCS000003	Macrophages.M2	0
SCPCS000003	Monocytes	0.5017498058638333
SCPCS000003	Neutrophils	0
SCPCS000003	NK.cells	0.20802331852936645
SCPCS000003	T.cells.CD4	0
SCPCS000003	T.cells.CD8	0
SCPCS000003	Tregs	0
SCPCS000003	Dendritic.cells	0
SCPCS000003	Other	0.29022687560680027
SCPCS000004	B.cells	0.008397424109556491
SCPCS000004	Macrophages.M1	0.008658968791800958
SCPCS000004	Macrophages.M2	0.0017890526173867747
SCPCS000004	Monocytes	0.20900422495679247
SCPCS000004	Neutrophils	0
SCPCS000004	NK.cells	0.08089599499406432
SCPCS000004	T.cells.CD4	0
SCPCS000004	T.cells.CD8	0
SCPCS000004	Tregs	0
SCPCS000004	Dendritic.cells	0.02788653246037835
SCPCS000004	Other	0.6633678020700207
SCPCS000005	B.cells	0
SCPCS000005	Macrophages.M1	0.22173179915660177
SCPCS000005	Macrophages.M2	0
SCPCS000005	Monocytes	0
SCPCS000005	Neutrophils	0
SCPCS000005	NK.cells	0.18056518607027733
SCPCS000005	T.cells.CD4	0
SCPCS000005	T.cells.CD8	0
SCPCS000005	Tregs	0
SCPCS000005	Dendritic.cells	0
SCPCS000005	Other	0.5977030147731209
SCPCS000007	B.cells	0.01113582641006476
SCPCS000007	Macrophages.M1	0
SCPCS000007	Macrophages.M2	0.007495421981009251
SCPCS000007	Monocytes	0.10461051463010812
SCPCS000007	Neutrophils	0
SCPCS000007	NK.cells	0.04078242090379435
SCPCS000007	T.cells.CD4	0
SCPCS000007	T.cells.CD8	0
SCPCS000007	Tregs	0.014659018295837123
SCPCS000007	Dendritic.cells	0
SCPCS000007	Other	0.8213167977791863
SCPCS000008	B.cells	0.0030475026245726
SCPCS000008	Macrophages.M1	0.0068437273598221686
SCPCS000008	Macrophages.M2	0.00898777688251098
SCPCS000008	Monocytes	0.044865813018491574
SCPCS000008	Neutrophils	0
SCPCS000008	NK.cells	0.06291666374921731
SCPCS000008	T.cells.CD4	0.09725465166760412
SCPCS000008	T.cells.CD8	0
SCPCS000008	Tregs	0.01778386140478531
SCPCS000008	Dendritic.cells	0.12790596455904407
SCPCS000008	Other	0.6303940387339518
SCPCS000009	B.cells	0.007955302151854114
SCPCS000009	Macrophages.M1	0
SCPCS000009	Macrophages.M2	0
SCPCS000009	Monocytes	0.36133300294760934
SCPCS000009	Neutrophils	0
SCPCS000009	NK.cells	0.06221581824742327
SCPCS000009	T.cells.CD4	0
SCPCS000009	T.cells.CD8	0.008747346319704601
SCPCS000009	Tregs	0
SCPCS000009	Dendritic.cells	0
SCPCS000009	Other	0.5597485303334087
SCPCS000010	B.cells	0
SCPCS000010	Macrophages.M1	0
SCPCS000010	Macrophages.M2	0
SCPCS000010	Monocytes	0.1584484398054969
SCPCS000010	Neutrophils	0
SCPCS000010	NK.cells	0.26624633467538295
SCPCS000010	T.cells.CD4	0
SCPCS000010	T.cells.CD8	0
SCPCS000010	Tregs	0
SCPCS000010	Dendritic.cells	0
SCPCS000010	Other	0.5753052255191202
SCPCS000013	B.cells	0
SCPCS000013	Macrophages.M1	0
SCPCS000013	Macrophages.M2	0.008125839566400162
SCPCS000013	Monocytes	0.4149272548765086
SCPCS000013	Neutrophils	0
SCPCS000013	NK.cells	0.15876070361325256
SCPCS000013	T.cells.CD4	0
SCPCS000013	T.cells.CD8	0
SCPCS000013	Tregs	0
SCPCS000013	Dendritic.cells	0
SCPCS000013	Other	0.4181862019438387
SCPCS000014	B.cells	0.005349735207715739
SCPCS000014	Macrophages.M1	0.11009065710465277
SCPCS000014	Macrophages.M2	0.17277996805082416
SCPCS000014	Monocytes	0
SCPCS000014	Neutrophils	0
SCPCS000014	NK.cells	0.02027521760601752
SCPCS000014	T.cells.CD4	0
SCPCS000014	T.cells.CD8	0.004016169964018761
SCPCS000014	Tregs	0.009882796229250364
SCPCS000014	Dendritic.cells	0.04326942830248498
SCPCS000014	Other	0.6343360275350358
SCPCS000015	B.cells	0.002210305738002067
SCPCS000015	Macrophages.M1	0
SCPCS000015	Macrophages.M2	0
SCPCS000015	Monocytes	0.578050749666083
SCPCS000015	Neutrophils	0
SCPCS000015	NK.cells	0.07544911612996412
