project_id	expression_type	sample_id	score_type	score
SCPCP000001	bulk_counts	SCPCS000020	immune	100.75743998203708
SCPCP000001	bulk_counts	SCPCS000021	stromal	5.300326865645745
SCPCP000001	bulk_counts	SCPCS000021	immune	2067.2904798106633
SCPCP000001	bulk_counts	SCPCS000022	stromal	-375.71656163983965
SCPCP000001	bulk_counts	SCPCS000022	immune	534.6429072891542
SCPCP000001	bulk_tpm	SCPCS000001	stromal	-1345.3034198102014
SCPCP000001	bulk_tpm	SCPCS000001	immune	-547.3527294891197
SCPCP000001	bulk_tpm	SCPCS000002	stromal	-216.57365538856766
SCPCP000001	bulk_tpm	SCPCS000002	immune	741.0952756474302
SCPCP000001	bulk_tpm	SCPCS000003	stromal	-1489.90143332599
SCPCP000001	bulk_tpm	SCPCS000003	immune	-696.6628372129866
SCPCP000001	bulk_tpm	SCPCS000004	stromal	-1107.3793203318871
SCPCP000001	bulk_tpm	SCPCS000004	immune	-6.765014319378018
SCPCP000001	bulk_tpm	SCPCS000005	stromal	-22.684928776814637
SCPCP000001	bulk_tpm	SCPCS000005	immune	1380.4535486142631
SCPCP000001	bulk_tpm	SCPCS000007	stromal	-1397.7264192293048
SCPCP000001	bulk_tpm	SCPCS000007	immune	-495.8996642222146
SCPCP000001	bulk_tpm	SCPCS000008	stromal	-1155.0261080572536
SCPCP000001	bulk_tpm	SCPCS000008	immune	59.05246388599575
SCPCP000001	bulk_tpm	SCPCS000009	stromal	-1281.762881351371
SCPCP000001	bulk_tpm	SCPCS000009	immune	-138.33639622435425
SCPCP000001	bulk_tpm	SCPCS000010	stromal	-1916.1368304180137
SCPCP000001	bulk_tpm	SCPCS000010	immune	-566.6860324293475
SCPCP000001	bulk_tpm	SCPCS000013	stromal	-965.3672111941639
SCPCP000001	bulk_tpm	SCPCS000013	immune	-727.6862897820503
SCPCP000001	bulk_tpm	SCPCS000014	stromal	210.36672956338106
SCPCP000001	bulk_tpm	SCPCS000014	immune	1934.8843430493905
SCPCP000001	bulk_tpm	SCPCS000015	stromal	-1322.6415659391496
SCPCP000001	bulk_tpm	SCPCS000015	immune	-478.1890951623827
SCPCP000001	bulk_tpm	SCPCS000016	stromal	-1158.1193774828812
SCPCP000001	bulk_tpm	SCPCS000016	immune	359.02941856576166
SCPCP000001	bulk_tpm	SCPCS000017	stromal	-1104.8870345326761
SCPCP000001	bulk_tpm	SCPCS000017	immune	-430.4531924603726
SCPCP000001	bulk_tpm	SCPCS000019	stromal	234.57749744645395
SCPCP000001	bulk_tpm	SCPCS000019	immune	923.1470881823943
SCPCP000001	bulk_tpm	SCPCS000020	stromal	-921.6516811225096
SCPCP000001	bulk_tpm	SCPCS000020	immune	472.2552245102681
SCPCP000001	bulk_tpm	SCPCS000021	stromal	-206.97050237120084
SCPCP000001	bulk_tpm	SCPCS000021	immune	2145.043232641071
SCPCP000001	bulk_tpm	SCPCS000022	stromal	-680.7843982537071
SCPCP000001	bulk_tpm	SCPCS000022	immune	820.8480838914586
SCPCP000001	pseudobulk	SCPCS000001	stromal	-1360.2415199486732
SCPCP000001	pseudobulk	SCPCS000001	immune	-1189.59779774497
SCPCP000001	pseudobulk	SCPCS000002	stromal	-142.37118958241126
SCPCP000001	pseudobulk	SCPCS000002	immune	2955.917416258471
SCPCP000001	pseudobulk	SCPCS000003	stromal	-756.9084095456452
SCPCP000001	pseudobulk	SCPCS000003	immune	595.146448862023
SCPCP000001	pseudobulk	SCPCS000004	stromal	-2004.7988621363859
SCPCP000001	pseudobulk	SCPCS000004	immune	-1215.0420556838951
SCPCP000001	pseudobulk	SCPCS000005	stromal	-45.31463357293428
SCPCP000001	pseudobulk	SCPCS000005	immune	3385.8301434828463
SCPCP000001	pseudobulk	SCPCS000007	stromal	-2325.3468866865587
SCPCP000001	pseudobulk	SCPCS000007	immune	-2099.199454012813
SCPCP000001	pseudobulk	SCPCS000008	stromal	-2151.715081121537
SCPCP000001	pseudobulk	SCPCS000008	immune	-1604.2601213933149
SCPCP000001	pseudobulk	SCPCS000009	stromal	-1408.957248195228
SCPCP000001	pseudobulk	SCPCS000009	immune	362.8264596591413
SCPCP000001	pseudobulk	SCPCS000010	stromal	-1904.0108903587386
SCPCP000001	pseudobulk	SCPCS000010	immune	1143.217161971382
SCPCP000001	pseudobulk	SCPCS000013	stromal	194.61661512679586
SCPCP000001	pseudobulk	SCPCS000013	immune	3153.7931141497543
SCPCP000001	pseudobulk	SCPCS000014	stromal	6.394323957267316
SCPCP000001	pseudobulk	SCPCS000014	immune	3683.8578868636614
SCPCP000001	pseudobulk	SCPCS000015	stromal	-1719.0981925221627
SCPCP000001	pseudobulk	SCPCS000015	immune	-1847.9450937009835
SCPCP000001	pseudobulk	SCPCS000016	stromal	-309.19636375880395
SCPCP000001	pseudobulk	SCPCS000016	immune	2745.414617688829
SCPCP000001	pseudobulk	SCPCS000017	stromal	-2268.5398572894414
SCPCP000001	pseudobulk	SCPCS000017	immune	-1665.387109256689
SCPCP000001	pseudobulk	SCPCS000019	stromal	-821.2304924128177
SCPCP000001	pseudobulk	SCPCS000019	immune	519.8322764053319
SCPCP000001	pseudobulk	SCPCS000020	stromal	-260.4505820280167
SCPCP000001	pseudobulk	SCPCS000020	immune	3232.618476565614
SCPCP000001	pseudobulk	SCPCS000021	stromal	27.76022319628521
SCPCP000001	pseudobulk	SCPCS000021	immune	2968.992618635981
SCPCP000001	pseudobulk	SCPCS000022	stromal	-92.89611833503197
SCPCP000001	pseudobulk	SCPCS000022	immune	3287.075611403956
SCPCP000002	bulk_counts	SCPCS000024	stromal	101.49690370055542
SCPCP000002	bulk_counts	SCPCS000024	immune	143.19562153463613
SCPCP000002	bulk_counts	SCPCS000025	stromal	-371.23267671873054
SCPCP000002	bulk_counts	SCPCS000025	immune	333.72371866862335
SCPCP000002	bulk_counts	SCPCS000026	stromal	-779.4245486184758
SCPCP000002	bulk_counts	SCPCS000026	immune	-540.7585831194028
SCPCP000002	bulk_counts	SCPCS000028	stromal	218.83422752639615
SCPCP000002	bulk_counts	SCPCS000028	immune	729.4339598826994
